《拜托了学妹第三期：没有性的恋爱你能坚持多久呢》  |   拜托了学妹第三期：没有性的恋爱你能坚持多久呢
《拜托了前任》  |   拜托了前任
《树深时见鹿》  |   树深时见鹿
《宋朝女人那点事儿》  |   宋朝女人那点事儿
《不惑仔之借刀杀人》  |   不惑仔之借刀杀人
《面具惊魂》  |   面具惊魂
《北方有佳人》  |   北方有佳人
《铁证如山》  |   铁证如山
《红朝秘史现行记》  |   红朝秘史现行记
韩国电影《1987》及其宣传片、预告片、片断等  |   1987
《钢索危情》  |   钢索危情
歌曲《圣诞夜》  |   圣诞夜
《致命的诱惑》  |   致命的诱惑
《吃的就是你》  |   吃的就是你
《我的男朋友》（第5集）  |   我的男朋友
《如果同性爱上你，怎么办？》  |   如果同性爱上你，怎么办？
《碰到女友“打飞机”怎么办？》  |   碰到女友“打飞机”怎么办？
《名著村脱单记》  |   名著村脱单记
《鬼畜史上最雷人的抗日神剧，包子随手一丢，居然炸了！》  |   鬼畜史上最雷人的抗日神剧，包子随手一丢，居然炸了！
《我和校花换个身体》  |   我和校花换个身体
《眷念你的温柔（Hybrid Child）》  |   眷念你的温柔（Hybrid Child）
《世界第一初恋》  |   世界第一初恋
《囚笼》  |   囚笼
《我的男朋友》  |   我的男朋友
《全民情敌》  |   全民情敌
《青春歪传》  |   青春歪传
《我的妖姬女友》  |   我的妖姬女友
《代号D计划（代号D机关）》  |   代号D计划（代号D机关）
《选择破坏者（电影版）》  |   选择破坏者（电影版）
《我的老婆是学生会长》  |   我的老婆是学生会长
《红人制造之卧底女王》  |   红人制造之卧底女王
《卡片诱惑》  |   卡片诱惑
《校花侦查记》  |   校花侦查记
《新说聊斋之114号别墅》  |   新说聊斋之114号别墅
《作死高手》  |   作死高手
《茅山社色涩》  |   茅山社色涩
《致命暗示》  |   致命暗示
《拯救脱轨少女》  |   拯救脱轨少女
《阴阳秘闻》  |   阴阳秘闻
《遇见恶魔》  |   遇见恶魔
《欲望出租房2》  |   欲望出租房2
《日囧》  |   日囧
《迷失罗曼史》  |   迷失罗曼史
《深夜药店》  |   深夜药店
《重生2017》  |   重生2017
《特案调查组之邪剑重生》  |   特案调查组之邪剑重生
《樱桃初夏》  |   樱桃初夏
《我的第七十七次失恋》  |   我的第七十七次失恋
《坑蒙拐骗偷》  |   坑蒙拐骗偷
《荒坟魅影》  |   荒坟魅影
《孤狼特工》  |   孤狼特工
《大咖驾到》  |   大咖驾到
《次元王》  |   次元王
《烧烤江湖》  |   烧烤江湖
《一路西游》  |   一路西游
《八十一号凶宅》  |   八十一号凶宅
《全民道士》  |   全民道士
《封印怨》  |   封印怨
《绝密恋人》  |   绝密恋人
《你好，差生》  |   你好，差生
《未成年》  |   未成年
《校草室友有剧毒》  |   校草室友有剧毒
两部纪录片《蚕食美国》  |   蚕食美国
《栀子》  |   栀子
《桃色迷局》  |   桃色迷局
《台北夜蒲团团转》  |   台北夜蒲团团转
《孙悟空七打九尾狐》  |   孙悟空七打九尾狐
《美女蝶变》  |   美女蝶变
《活着》  |   活着
《大话射雕之正义化身》  |   大话射雕之正义化身
《测字先生》  |   测字先生
《挖掘机》及其影片片花、宣传片等  |   挖掘机
《出租车司机》及其影片片花、宣传片等  |   出租车司机
《毛泽东全彩实录》（Mao In Colour）  |   毛泽东全彩实录
《西藏小组》（TEAM TIBET: Home away from Home）  |   西藏小组
《大师请接客》  |   大师请接客
《神秘之法》  |   神秘之法
《最新版西游记》  |   最新版西游记
《欲望办公室》  |   欲望办公室
《雨夜恶魔》  |   雨夜恶魔
《友情公寓3》第六集  |   友情公寓3
《游魂服务站》  |   游魂服务站
《人鬼情未了之鬼妻》  |   人鬼情未了之鬼妻
《女祭司》  |   女祭司
《那夜，遇见》  |   那夜，遇见
《灵忆招魂》  |   灵忆招魂
《疗伤客栈第二季》第九集  |   疗伤客栈第二季
《戒不住》  |   戒不住
《征服女人》  |   征服女人
《夜回魂》  |   夜回魂
《通天之眼》  |   通天之眼
《如果花会说话》  |   如果花会说话
《热血年代》  |   热血年代
《青纪之砂》  |   青纪之砂
《茅山道士》  |   茅山道士
《暧你》  |   暧你
《我喜欢你，你知道吗？》1-8集  |   我喜欢你，你知道吗？
《灵界基友》（第7集、第8集）  |   灵界基友
《左手项羽右手刘邦》  |   左手项羽右手刘邦
《直男日记》  |   直男日记
《异时空恋人》  |   异时空恋人
《异爱》  |   异爱
《泰惊魂之无骨按摩师》  |   泰惊魂之无骨按摩师
《茅山邪道引魂煞》  |   茅山邪道引魂煞
《精武门之逆天行者》  |   精武门之逆天行者
《僵尸水怪1、2》  |   僵尸水怪1、2
《超模沦陷局中局》  |   超模沦陷局中局
《脱轨》  |   脱轨
《打拼-台湾人民的历史》第8集：航向民主  |   打拼-台湾人民的历史
歌曲《大国颗丝》  |   大国颗丝
《诗人出差了》  |   诗人出差了
《左边的风声》  |   左边的风声
《再见×先生 第二集》  |   再见×先生 第二集
《我和x先生之第三者的第三者》  |   我和x先生之第三者的第三者
《我和×先生之北京北京》  |   我和×先生之北京北京
《我的无头女友》  |   我的无头女友
《深夜咖啡馆之失踪少女》  |   深夜咖啡馆之失踪少女
《杀戮轮回》  |   杀戮轮回
《女帝》  |   女帝
《男宠》  |   男宠
《爱夜蒲之魔都》  |   爱夜蒲之魔都
《魔都四悸》  |   魔都四悸
《伏魔探案之通灵撸Sir》  |   伏魔探案之通灵撸Sir
《夏日时光》  |   夏日时光
《无热血不青春之校花与古惑仔》  |   无热血不青春之校花与古惑仔
《跑》  |   跑
《男舍男分》  |   男舍男分
《禁婆》  |   禁婆
《僵尸降头》  |   僵尸降头
《古曼惊魂》  |   古曼惊魂
《都市怪谈》  |   都市怪谈
《二龙湖浩哥之江湖学院》  |   二龙湖浩哥之江湖学院
《男儿国》  |   男儿国
《二龙湖浩哥之大战古惑仔》  |   二龙湖浩哥之大战古惑仔
《二龙湖浩哥之狂暴之路》  |   二龙湖浩哥之狂暴之路
《二龙湖浩哥之今生之兄弟》  |   二龙湖浩哥之今生之兄弟
《二龙湖浩哥之风云再起》  |   二龙湖浩哥之风云再起
《二龙湖浩哥之四平青年》  |   二龙湖浩哥之四平青年
《丁丁小姐》  |   丁丁小姐
《三国杀熟》  |   三国杀熟
《活人墓》  |   活人墓
《疯狂烤场异谈》  |   疯狂烤场异谈
《暴走》  |   暴走
《报应》  |   报应
《造人糗事》  |   造人糗事
《苏苏》  |   苏苏
《私密日记》  |   私密日记
《师徒崛起》  |   师徒崛起
《潜规则》  |   潜规则
《贱男歼灭记》  |   贱男歼灭记
《还魂夜》  |   还魂夜
《兵痞》  |   兵痞
《保姆的私密日记》  |   保姆的私密日记
《办公室潜规则》  |   办公室潜规则
《掰弯》  |   掰弯
纪录片《一带一路新丝路》  |   一带一路新丝路
《招魂笔记》  |   招魂笔记
《游魂服务站》  |   游魂服务站
《一眼千年再生缘》  |   一眼千年再生缘
《天师之九转轮回盘》  |   天师之九转轮回盘
纪录片《天空圣城 藏传佛教·红色的信仰世界》  |   天空圣城 藏传佛教·红色的信仰世界
《遇灵记》  |   遇灵记
《探灵笔录》  |   探灵笔录
《人鬼情未了之鬼妻》  |   人鬼情未了之鬼妻
《青城降魔历险记》（又名青城僵尸）  |   青城降魔历险记
《美女鬼上身》  |   美女鬼上身
《灵怨》  |   灵怨
《恐怖都市》  |   恐怖都市
《界师之觉醒》  |   界师之觉醒
《黄大仙》  |   黄大仙
《簋街的鬼》  |   簋街的鬼
《古庙惊魂》  |   古庙惊魂
《宫妖传》  |   宫妖传
《碟仙显灵》  |   碟仙显灵
《打狼之我命由己》  |   打狼之我命由己
纪录片《假孔子之名》及预告片、宣传片、片断等  |   假孔子之名
《苗疆蛊师》及其宣传片、片花等  |   苗疆蛊师
《绝色蛊师》及其未删减版、已删减片段、片花等  |   绝色蛊师
《唐唐讲段子》  |   唐唐讲段子
《自拍惊魂》  |   自拍惊魂
《撞锁》  |   撞锁
《约爱风暴》  |   约爱风暴
《鲜花与牛奋》  |   鲜花与牛奋
《我不做潘金莲》  |   我不做潘金莲
《我爱上我爸》  |   我爱上我爸
《说好不恋爱》  |   说好不恋爱
《BIG笑工坊》  |   BIG笑工坊
